path	categories
ports/compat-32/avahi-32/Pkgfile	build/runtime,service-path
ports/compat-32/cups-32/Pkgfile	build/runtime
ports/compat-32/eudev-32/Pkgfile	build/runtime
ports/compat-32/libcanberra-32/Pkgfile	build/runtime,service-path
ports/compat-32/libnm-32/Pkgfile	build/runtime
ports/compat-32/pulseaudio-32/Pkgfile	build/runtime
ports/core/aaa_filesystem/Pkgfile	build/runtime
ports/core/bfs-kernel-maintenance/Pkgfile	build/runtime,service-path
ports/core/dbus/Pkgfile	build/runtime
ports/core/lvm2/Pkgfile	build/runtime
ports/core/nftables/Pkgfile	build/runtime,service-path
ports/core/openssh/Pkgfile	build/runtime,service-path
ports/core/procps-ng/Pkgfile	build/runtime
ports/core/rsync/Pkgfile	build/runtime,service-path
ports/core/shadow/Pkgfile	build/runtime
ports/core/systemd/Pkgfile	build/runtime
ports/core/util-linux/Pkgfile	build/runtime
ports/core/wpa_supplicant/Pkgfile	build/runtime,service-path
ports/gnome/gnome-keyring/Pkgfile	build/runtime
ports/gnome/gnome-session/Pkgfile	build/runtime
ports/gnome/gvfs/Pkgfile	build/runtime
ports/opt/accountsservice/Pkgfile	build/runtime
ports/opt/alsa-lib/Pkgfile	build/runtime
ports/opt/calamares/Pkgfile	build/runtime
ports/opt/chromium/Pkgfile	build/runtime
ports/opt/colord/Pkgfile	build/runtime
ports/opt/cups/Pkgfile	build/runtime,service-path
ports/opt/gpm/Pkgfile	build/runtime,service-path
ports/opt/gst-plugins-bad/Pkgfile	build/runtime
ports/opt/gst-plugins-good/Pkgfile	build/runtime
ports/opt/gst-plugins-ugly/Pkgfile	build/runtime
ports/opt/kerberos/Pkgfile	build/runtime,service-path
ports/opt/libvirt/Pkgfile	build/runtime
ports/opt/lightdm/Pkgfile	build/runtime,service-path
ports/opt/ndctl/Pkgfile	build/runtime
ports/opt/networkmanager/Pkgfile	build/runtime
ports/opt/p11-kit/Pkgfile	build/runtime
ports/opt/pipewire/Pkgfile	build/runtime
ports/opt/polkit/Pkgfile	build/runtime
ports/opt/rtkit/Pkgfile	build/runtime
ports/opt/samba/Pkgfile	build/runtime,service-path
ports/opt/seatd/Pkgfile	build/runtime
ports/opt/snapper/Pkgfile	build/runtime
ports/opt/udisks/Pkgfile	build/runtime
ports/opt/wireplumber/Pkgfile	build/runtime,service-path
ports/opt/wlroots/Pkgfile	build/runtime
ports/plasma/drkonqi/Pkgfile	build/runtime
ports/plasma/kscreenlocker/Pkgfile	build/runtime
ports/plasma/plasma-login-manager/Pkgfile	build/runtime,service-path
ports/plasma/plasma-meta/Pkgfile	build/runtime
ports/xorg/libinput/Pkgfile	build/runtime
ports/xorg/xorg-server/Pkgfile	build/runtime
ports/xorg/xscreensaver/Pkgfile	build/runtime
